FIPS Code,Geography,Year,Program Type,Population,County
36000,New York State,2024,Postcensal Population Estimate,19867248,Statewide
36001,Albany County,2024,Postcensal Population Estimate,319964,Albany
36003,Allegany County,2024,Postcensal Population Estimate,47299,Allegany
36005,Bronx County,2024,Postcensal Population Estimate,1384724,Bronx
36007,Broome County,2024,Postcensal Population Estimate,196397,Broome
36009,Cattaraugus County,2024,Postcensal Population Estimate,75475,Cattaraugus
36011,Cayuga County,2024,Postcensal Population Estimate,74567,Cayuga
36013,Chautauqua County,2024,Postcensal Population Estimate,124105,Chautauqua
36015,Chemung County,2024,Postcensal Population Estimate,81115,Chemung
36017,Chenango County,2024,Postcensal Population Estimate,45776,Chenango
36019,Clinton County,2024,Postcensal Population Estimate,77871,Clinton
36021,Columbia County,2024,Postcensal Population Estimate,60299,Columbia
36023,Cortland County,2024,Postcensal Population Estimate,45945,Cortland
36025,Delaware County,2024,Postcensal Population Estimate,44191,Delaware
36027,Dutchess County,2024,Postcensal Population Estimate,299963,Dutchess
36029,Erie County,2024,Postcensal Population Estimate,950602,Erie
36031,Essex County,2024,Postcensal Population Estimate,36744,Essex
36033,Franklin County,2024,Postcensal Population Estimate,47086,Franklin
36035,Fulton County,2024,Postcensal Population Estimate,52073,Fulton
36037,Genesee County,2024,Postcensal Population Estimate,57604,Genesee
36039,Greene County,2024,Postcensal Population Estimate,46903,Greene
36041,Hamilton County,2024,Postcensal Population Estimate,5082,Hamilton
36043,Herkimer County,2024,Postcensal Population Estimate,59585,Herkimer
36045,Jefferson County,2024,Postcensal Population Estimate,113140,Jefferson
36047,Kings County,2024,Postcensal Population Estimate,2617631,Kings
36049,Lewis County,2024,Postcensal Population Estimate,26570,Lewis
36051,Livingston County,2024,Postcensal Population Estimate,61561,Livingston
36053,Madison County,2024,Postcensal Population Estimate,67072,Madison
36055,Monroe County,2024,Postcensal Population Estimate,752202,Monroe
36057,Montgomery County,2024,Postcensal Population Estimate,49648,Montgomery
36059,Nassau County,2024,Postcensal Population Estimate,1392438,Nassau
36061,New York County,2024,Postcensal Population Estimate,1660664,New York
36063,Niagara County,2024,Postcensal Population Estimate,209570,Niagara
36065,Oneida County,2024,Postcensal Population Estimate,228347,Oneida
36067,Onondaga County,2024,Postcensal Population Estimate,469812,Onondaga
36069,Ontario County,2024,Postcensal Population Estimate,113012,Ontario
36071,Orange County,2024,Postcensal Population Estimate,411767,Orange
36073,Orleans County,2024,Postcensal Population Estimate,39686,Orleans
36075,Oswego County,2024,Postcensal Population Estimate,118305,Oswego
