State Fiscal Year Ending,District Code,District,Total Staffing,Intake/Case Maintenance,Services Program,Services Administration,Employment Programs,Medicaid Eligibility Determination and Payment Authorization,Medicaid Policy Planning and Administration,Training,Supplemental Nutrition Assistance Program,Child Support,Fraud and Abuse,Home Energy Assistance Program,Welfare Management System,Other Reimbursable Programs,TANF Funded Services,Administrative Overhead,Non-Administrative Local Program,Overall Overhead
2024,23,Lewis,59,3,18,1,2,6,0,1,9,3,1,2,2,1,1,9,0,0
2024,24,Livingston,102,8,33,11,0,8,0,1,8,6,1,2,0,0,1,24,0,0
2024,25,Madison,113,7,31,19,3,10,0,1,13,10,0,5,2,1,0,7,2,1
2024,26,Monroe,860,198,313,33,26,56,0,2,80,49,20,12,8,6,20,36,3,0
2024,27,Montgomery,101,6,32,2,3,11,1,1,11,8,2,3,2,0,0,20,0,0
2024,28,Nassau,616,101,164,66,32,96,2,3,47,30,6,11,2,1,0,54,0,0
2024,29,Niagara,391,83,112,26,12,22,0,1,44,31,9,11,3,5,7,24,0,0
2024,30,Oneida,348,82,97,6,12,21,0,1,40,34,10,16,5,1,0,24,0,0
2024,31,Onondaga,643,90,181,36,70,57,6,2,82,42,16,9,0,1,5,43,3,0
2024,32,Ontario,141,15,47,17,9,13,0,15,7,11,1,1,0,1,1,3,0,0
2024,33,Orange,405,53,150,36,0,35,0,3,31,24,10,6,11,2,0,42,1,2
2024,34,Orleans,76,8,26,2,0,10,0,0,6,7,2,2,1,1,0,11,0,0
2024,35,Oswego,310,27,150,12,3,16,0,2,30,23,5,5,4,2,2,28,1,0
2024,36,Otsego,114,7,53,1,4,5,0,2,9,5,1,4,1,0,0,23,0,0
2024,37,Putnam,75,4,22,5,3,12,0,0,5,5,1,0,2,0,1,13,0,0
2024,38,Rensselaer,167,13,61,5,6,12,0,1,21,9,7,5,2,0,0,23,0,1
2024,39,Rockland,300,29,117,2,9,28,1,2,36,18,8,2,9,2,0,31,6,2
2024,40,St. Lawrence,235,16,80,16,10,26,0,2,16,19,5,9,3,0,0,34,1,0
2024,41,Saratoga,188,18,61,13,2,33,0,1,24,16,3,5,3,2,0,8,0,0
2024,42,Schenectady,197,22,114,6,0,10,0,1,15,10,6,2,0,0,0,12,0,0
2024,43,Schoharie,72,5,26,9,2,7,0,1,6,5,1,3,1,0,0,8,0,0
2024,44,Schuyler,51,4,14,3,3,5,0,1,3,4,2,1,0,0,0,8,2,1
2024,45,Seneca,58,4,24,0,0,10,0,1,5,5,0,2,1,0,0,6,0,0
2024,46,Steuben,182,21,67,4,6,17,0,1,15,18,6,4,0,3,0,19,0,1
2024,47,Suffolk,1244,176,521,11,19,178,20,1,109,78,13,9,1,10,0,99,0,0
2024,48,Sullivan,153,9,61,2,3,13,0,1,14,12,6,7,5,0,3,15,0,1
2024,49,Tioga,80,4,27,6,2,5,1,1,8,5,1,2,1,0,0,17,0,0
2024,50,Tompkins,172,21,69,10,6,12,3,1,14,8,0,4,1,0,0,0,4,20
2024,51,Ulster,279,27,131,8,1,44,0,1,20,21,3,4,2,0,0,18,0,0
2024,52,Warren,131,14,38,3,4,20,0,4,11,9,4,4,1,0,8,12,0,0
2024,53,Washington,134,16,44,7,4,16,0,1,14,10,3,3,3,2,1,9,0,0
2024,54,Wayne,129,16,45,7,2,19,0,1,15,9,1,2,2,1,0,7,0,0
2024,55,Westchester,929,149,349,45,29,102,9,4,66,49,23,9,5,3,1,88,0,0
2024,56,Wyoming,74,10,13,2,2,13,0,2,7,8,1,2,0,3,4,0,0,7
2024,57,Yates,48,5,17,1,3,5,0,0,5,2,0,1,0,0,0,7,0,0
2024,66,New York City,19093,4704,3031,1676,256,1200,1,172,1307,442,365,19,3,8,44,28,2410,3427
2024,02,Allegany,100,6,29,6,5,6,1,0,13,13,2,5,1,1,0,12,0,0
2024,01,Albany,358,35,132,6,17,21,1,3,15,19,6,10,0,2,0,37,41,12
2024,20,Hamilton,12,0,0,4,0,2,0,0,1,1,0,0,0,0,0,3,0,0
2024,19,Greene,82,5,37,1,2,6,3,1,4,4,3,1,2,0,0,11,0,0
2024,18,Genesee,107,8,33,10,3,16,0,0,12,7,2,1,2,5,0,6,0,0
2024,17,Fulton,109,6,33,1,3,10,1,1,13,10,5,5,4,0,6,12,0,0
2024,16,Franklin,129,9,50,0,4,14,0,2,15,7,1,7,4,0,0,13,2,0
2024,15,Essex,73,3,27,0,1,10,1,1,5,6,1,2,1,0,0,15,0,0
2024,14,Erie,1269,178,326,140,98,90,0,6,138,90,57,28,0,14,4,96,4,0
2024,13,Dutchess,341,29,87,53,5,25,0,2,34,32,6,5,1,1,1,60,0,0
2024,12,Delaware,91,2,33,6,3,7,0,1,10,5,1,2,0,0,0,22,0,0
2024,11,Cortland,109,18,40,12,3,8,0,1,7,7,1,2,2,1,1,5,0,0
2024,22,Jefferson,201,24,74,7,1,17,0,1,31,13,2,5,2,2,0,20,2,0
2024,03,Broome,282,25,84,31,18,27,4,2,22,18,1,5,6,0,1,37,1,0
2024,21,Herkimer,107,8,26,9,4,10,1,1,10,10,1,4,4,1,0,19,0,0
2024,10,Columbia,141,14,39,19,4,12,0,1,15,9,3,4,3,0,0,18,0,0
2024,09,Clinton,157,13,61,13,6,13,1,1,10,10,1,5,1,7,1,15,0,0
2024,08,Chenango,85,4,33,2,2,5,0,1,6,7,2,2,3,0,0,17,0,0
2024,07,Chemung,156,20,48,17,2,16,0,2,16,14,4,3,0,2,0,12,0,0
2024,06,Chautauqua,316,43,115,5,19,30,4,1,26,26,8,9,0,2,0,28,0,0
2024,05,Cayuga,129,21,40,6,3,11,0,1,14,10,4,3,4,2,0,7,1,0
2024,04,Cattaraugus,179,27,56,5,11,20,0,0,20,14,2,5,0,2,0,15,0,0
2023,37,Putnam,77,4,23,5,4,12,1,0,5,5,1,1,2,0,1,15,0,0
2023,35,Oswego,256,28,112,11,5,13,0,2,26,19,5,5,3,2,1,25,0,0
2023,34,Orleans,72,7,25,0,0,10,0,0,5,8,2,2,1,2,0,9,0,0
2023,33,Orange,396,48,150,35,0,34,0,3,33,26,10,5,9,3,0,38,1,2
2023,32,Ontario,142,13,45,16,8,14,0,16,9,11,1,2,0,1,1,4,0,0
2023,31,Onondaga,616,77,168,36,61,52,6,1,88,43,14,12,0,8,5,40,3,0
2023,30,Oneida,347,75,85,14,13,21,0,1,43,32,10,19,6,3,0,26,0,0
2023,29,Niagara,383,85,109,25,13,23,0,1,44,31,10,8,3,3,7,23,0,0
2023,28,Nassau,624,100,158,70,31,104,2,3,47,33,6,11,2,0,0,57,0,0
2023,27,Montgomery,104,5,33,1,4,11,1,1,12,8,2,2,2,1,0,21,0,0
2023,26,Monroe,784,183,279,27,26,41,0,2,84,49,19,14,7,4,17,27,4,0
2023,25,Madison,115,8,32,18,3,10,0,2,11,11,0,5,2,3,0,7,2,1
2023,24,Livingston,101,7,37,8,0,7,0,1,9,5,1,2,0,0,1,22,0,0
2023,23,Lewis,60,5,19,1,4,5,0,1,7,3,1,3,1,1,0,9,0,0
2023,22,Jefferson,194,19,74,7,4,15,0,1,28,12,3,8,3,1,0,19,1,0
